timestamp,date,time,temp,device_code,serial_number,mode_code
1739303419,2025-02-11,19:50:19,32.1,RC-5+,EFI241107334,TLC30A08B
1739303429,2025-02-11,19:50:29,32.1,RC-5+,EFI241107334,TLC30A08B
1739303439,2025-02-11,19:50:39,32.1,RC-5+,EFI241107334,TLC30A08B
1739303449,2025-02-11,19:50:49,32.1,RC-5+,EFI241107334,TLC30A08B
1739303459,2025-02-11,19:50:59,32.1,RC-5+,EFI241107334,TLC30A08B
1739303469,2025-02-11,19:51:09,32.1,RC-5+,EFI241107334,TLC30A08B
1739303479,2025-02-11,19:51:19,32.1,RC-5+,EFI241107334,TLC30A08B
1739303489,2025-02-11,19:51:29,32.2,RC-5+,EFI241107334,TLC30A08B
1739303499,2025-02-11,19:51:39,32.2,RC-5+,EFI241107334,TLC30A08B
1739303509,2025-02-11,19:51:49,32.2,RC-5+,EFI241107334,TLC30A08B
1739303519,2025-02-11,19:51:59,32.2,RC-5+,EFI241107334,TLC30A08B
1739303529,2025-02-11,19:52:09,32.2,RC-5+,EFI241107334,TLC30A08B
1739303539,2025-02-11,19:52:19,32.2,RC-5+,EFI241107334,TLC30A08B
1739303549,2025-02-11,19:52:29,32.2,RC-5+,EFI241107334,TLC30A08B
1739303559,2025-02-11,19:52:39,32.2,RC-5+,EFI241107334,TLC30A08B
1739303569,2025-02-11,19:52:49,32.3,RC-5+,EFI241107334,TLC30A08B
1739303579,2025-02-11,19:52:59,32.3,RC-5+,EFI241107334,TLC30A08B
1739303589,2025-02-11,19:53:09,32.3,RC-5+,EFI241107334,TLC30A08B
1739303599,2025-02-11,19:53:19,32.3,RC-5+,EFI241107334,TLC30A08B
1739303609,2025-02-11,19:53:29,32.3,RC-5+,EFI241107334,TLC30A08B
1739303619,2025-02-11,19:53:39,32.3,RC-5+,EFI241107334,TLC30A08B
1739303629,2025-02-11,19:53:49,32.3,RC-5+,EFI241107334,TLC30A08B
1739303639,2025-02-11,19:53:59,32.2,RC-5+,EFI241107334,TLC30A08B
1739303649,2025-02-11,19:54:09,32.2,RC-5+,EFI241107334,TLC30A08B
1739303659,2025-02-11,19:54:19,32.2,RC-5+,EFI241107334,TLC30A08B
1739303669,2025-02-11,19:54:29,32.2,RC-5+,EFI241107334,TLC30A08B
1739303679,2025-02-11,19:54:39,32.2,RC-5+,EFI241107334,TLC30A08B
1739303689,2025-02-11,19:54:49,32.2,RC-5+,EFI241107334,TLC30A08B
1739303699,2025-02-11,19:54:59,32.2,RC-5+,EFI241107334,TLC30A08B
1739303709,2025-02-11,19:55:09,32.2,RC-5+,EFI241107334,TLC30A08B
1739303719,2025-02-11,19:55:19,32.2,RC-5+,EFI241107334,TLC30A08B
1739303729,2025-02-11,19:55:29,32.2,RC-5+,EFI241107334,TLC30A08B
1739303739,2025-02-11,19:55:39,32.1,RC-5+,EFI241107334,TLC30A08B
1739303749,2025-02-11,19:55:49,32.1,RC-5+,EFI241107334,TLC30A08B
1739303759,2025-02-11,19:55:59,32.1,RC-5+,EFI241107334,TLC30A08B
1739303769,2025-02-11,19:56:09,32.1,RC-5+,EFI241107334,TLC30A08B
1739303779,2025-02-11,19:56:19,32.1,RC-5+,EFI241107334,TLC30A08B
1739303789,2025-02-11,19:56:29,32.1,RC-5+,EFI241107334,TLC30A08B
